site,short_name,nox_n_mn,nox_n_sd,nox_n_n,nox_n_md,nox_n_iqr,nox_n_p90,nox_n_gm,nh4_n_mn,nh4_n_sd,nh4_n_n,nh4_n_md,nh4_n_iqr,nh4_n_p90,nh4_n_gm,din_mn,din_sd,din_n,din_md,din_iqr,din_p90,din_gm,on_mn,on_sd,on_n,on_md,on_iqr,on_p90,on_gm,tn_mn,tn_sd,tn_n,tn_md,tn_iqr,tn_p90,tn_gm,chl_mn,chl_sd,chl_n,chl_md,chl_iqr,chl_p90,chl_gm,tss_mn,tss_sd,tss_n,tss_md,tss_iqr,tss_p90,tss_gm
CRTRIB0,Cousins Trib,0.11966666666666667,0.09162896194253575,6,0.1135,0.15400000000000003,0.217,0.08257206929993294,0.09616666666666666,0.12700774254614033,6,0.0245,0.19575,0.2595,0.02950642077036984,0.21583333333333332,0.20934413454087186,6,0.138,0.33999999999999997,0.4765,0.12469346645985058,0.5546666666666666,0.38271329564919304,6,0.46599999999999997,0.10599999999999993,0.9059999999999999,0.47372167438109375,0.7705,0.35076701669341714,6,0.7144999999999999,0.4287500000000001,1.151,0.706450936379362,22.31833333333333,32.01348616859255,6,11.82,14.837499999999997,52.75,7.273352690706153,18.616666666666667,8.364309096791358,6,18.5,9.75,27.5,16.909105635793736
CR00,Cousins 00,0.25883333333333336,0.1289859165438873,6,0.2765,0.10449999999999998,0.37649999999999995,0.23042072175602987,0.05366666666666666,0.05197563531758574,6,0.045,0.05975,0.10799999999999998,0.031728086098552516,0.3125,0.16333615643818727,6,0.3215,0.21324999999999997,0.48449999999999993,0.2714436577288519,0.3375,0.1775587226806951,6,0.29100000000000004,0.056999999999999995,0.5055,0.30839499078016386,0.65,0.19330287116336373,6,0.6910000000000001,0.2739999999999999,0.837,0.6223732320403844,18.018333333333334,24.88471692960695,6,4.585,28.0275,48.650000000000006,5.501445487692588,23.333333333333332,15.35795125225584,6,18.5,16.5,41.5,18.257293944067474
CR-31,Cousins 31,0.1235,0.08284865720094683,6,0.10200000000000001,0.07999999999999999,0.218,0.10095190714576166,0.05766666666666667,0.07927336669188882,6,0.014,0.07825000000000001,0.1535,0.022099699167974926,0.18116666666666667,0.14956927046244045,6,0.112,0.22150000000000003,0.3715,0.13419764059961442,0.272,0.12169141300847815,6,0.2585,0.13075000000000003,0.4015,0.24477578319888754,0.45316666666666666,0.2576582361708367,6,0.352,0.38625,0.773,0.3964538485445161,8.955,8.388555894789043,6,4.57,12.069999999999999,19.7,6.081313162179641,22.35,26.171568542981905,6,11.9,9.275,47,15.221365228361838
CR-44,Cousins 44,0.04666666666666667,0.035019042438840804,3,0.048,0.035,0.0744,0.03497086009950874,0.04733333333333333,0.049973326218427094,3,0.036,0.048999999999999995,0.08879999999999999,0.024489930611504087,0.094,0.07037755323965163,3,0.11699999999999999,0.0675,0.14339999999999997,0.06408988022546874,0.383,0.015099668870541512,3,0.381,0.015000000000000013,0.3954,0.3828024827621719,0.47700000000000004,0.08088881257627659,3,0.516,0.07350000000000007,0.528,0.47209037817358274,3.59,2.5855947091530025,3,3.32,2.5749999999999997,5.704,2.886636892761001,22.03333333333333,19.25106057684442,3,14,17.95,37.99999999999999,17.08789540398039
RR00_A,Royal A,0.3325,0.0680147042925278,8,0.3285,0.07425000000000004,0.4174,0.3267938712200785,0.022625,0.0020658792662827954,8,0.0215,0.0032499999999999994,0.0253,0.022545146268222106,0.355125,0.06887346057392914,8,0.35150000000000003,0.07124999999999998,0.43990000000000007,0.3496491590454947,0.238,0.08275091712914297,8,0.23999999999999996,0.09500000000000003,0.3227,0.22338409713665547,0.593125,0.1022328399851465,8,0.6355,0.1379999999999999,0.6796,0.5850398896723114,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
RR-01,Royal 01,0.29283333333333333,0.09539269713487855,6,0.28200000000000003,0.13199999999999995,0.399,0.27984036763601067,0.018,0.007183313998427188,6,0.016,0.003499999999999998,0.025,0.017062604501269132,0.31083333333333335,0.09826986652411139,6,0.305,0.13875000000000004,0.4165,0.29763709094575164,0.3035,0.1629414005095083,6,0.349,0.23274999999999998,0.45399999999999996,0.24858748318848928,0.6143333333333333,0.16943632038812298,6,0.6485000000000001,0.12474999999999992,0.7615,0.5908504085303932,5.22,3.5837299005365906,6,4.51,4.4325,9.315000000000001,3.957228206599324,5.733333333333333,4.615481195570692,6,4.449999999999999,1.2000000000000002,9.85,4.757985582933961
RR-06,Royal 06,0.13583333333333333,0.02655873992994899,6,0.1315,0.03,0.1655,0.13359856941268078,0.015833333333333335,0.010759491933482114,6,0.017,0.013750000000000002,0.026500000000000003,0.01205190461969093,0.15166666666666667,0.036120169803956714,6,0.14700000000000002,0.04025000000000001,0.192,0.14798626251319574,0.3083333333333333,0.09759439874637614,6,0.299,0.16174999999999998,0.4175,0.2953699737592226,0.45999999999999996,0.10432257665529546,6,0.4405,0.14875,0.584,0.450388541685778,10.568333333333333,13.912951400284078,6,6.2,4.585,23.405,5.737123147359533,8.6,3.6193922141707717,6,8.5,3.1500000000000012,12.15,8.023295130652562
RR-13,Royal 13,0.08283333333333333,0.04532732803361198,6,0.077,0.06525,0.1355,0.07191162304039059,0.014166666666666666,0.012560520159080461,6,0.0095,0.01375,0.028999999999999998,0.010221499512991398,0.097,0.04573838650411708,6,0.0865,0.04100000000000001,0.1485,0.08732006754193504,0.3245,0.0715534765053383,6,0.3255,0.11025000000000001,0.401,0.31775805361091447,0.4215,0.09323679531172231,6,0.41200000000000003,0.10525000000000001,0.523,0.41284009490808093,6.835,6.1909377318787495,6,5.395,1.6450000000000005,12.51,4.906084021909604,9.85,2.7281862106535177,6,9.399999999999999,3.7500000000000018,13,9.523733915311245
RR-19,Royal 19,0.08333333333333333,0.04273562136360408,3,0.107,0.03749999999999999,0.1086,0.07346769215768464,0.011333333333333332,0.012701705922171767,3,0.004,0.011,0.021599999999999998,0.007465022313634496,0.09466666666666668,0.05008326400438906,3,0.113,0.04749999999999999,0.129,0.08296684212874597,0.2673333333333333,0.21283874960479662,3,0.34299999999999997,0.20249999999999996,0.4141999999999999,0.158750052286754,0.362,0.21313610674871583,3,0.381,0.21249999999999997,0.5281999999999999,0.3111958664584463,7.626666666666666,8.276233040057132,3,4.99,7.955,14.517999999999997,4.370597519652001,7.866666666666666,1.6165807537309518,3,7.6,1.5999999999999996,9.2,7.758092137343807
RR-20,Royal 20,0.045,0.017578395831246946,3,0.038,0.0165,0.0596,0.042915644973111344,0.013666666666666667,0.013428824718989124,3,0.008,0.012500000000000002,0.024799999999999996,0.009753997922146623,0.05866666666666667,0.01619670748434179,3,0.067,0.014499999999999999,0.06860000000000001,0.05697197760782719,0.32366666666666666,0.07350056689123788,3,0.324,0.07350000000000001,0.3824,0.3179985759993193,0.38233333333333336,0.059475485145842506,3,0.391,0.05900000000000005,0.42779999999999996,0.37915456782765744,4.826666666666666,0.8379936356162456,3,4.96,0.8300000000000001,5.4639999999999995,4.776341218406954,12.666666666666666,4.163331998932265,3,14,4,15.6,12.14635588750265
